Torque (Nm),Pressure (PSI),Speed (RPM),Efficiency,Wear Factor
44.9816047538945,2494.5632738667937,159.49974664849555,1.0,0.0
68.02857225639664,2331.648384925613,77.67679933980673,0.953384600450911,0.026395637590739318
59.2797576724562,1704.6156500114403,101.99595415548293,1.0,0.0
53.946339367881464,3429.066680405952,149.49209552867273,0.874723270239995,0.29346012756060524
36.24074561769746,2906.4966420345154,122.313401678672,0.8811081277700715,0.22843340866330847
36.23978081344811,4462.803969296015,160.78565579523408,0.5698370142752781,1.0
32.323344486727976,1128.438321928233,194.18118518342897,1.0,0.0
64.6470458309974,3575.4717102205054,67.48200315727962,0.7384351996459249,0.5806767717302007
54.04460046972835,4051.7955140462445,156.43515745970916,0.7491948924934676,0.6067897664176893
58.32290311184182,4037.946276753228,84.55162334481719,0.7091817135309362,0.6854312006134504
30.823379771832098,4544.2958683821,112.17150911113538,0.499374624041901,1.0
68.79639408647978,3916.134971317976,54.92940886927097,0.6288090648716069,0.8339953673885836
63.29770563201687,4711.240246590785,70.38610734390484,0.5247748943616742,1.0
38.49356442713105,2330.6263992835657,97.96659335733494,1.0,0.0
37.27299868828403,3012.8376670061725,101.29787079319775,0.8701624534816057,0.26095885973740574
37.33618039413735,1056.3186531315628,184.93778246931436,1.0,0.0
42.169689718381505,1027.830349213165,161.27193638997727,1.0,0.0
50.990257265289515,1960.5064818060796,195.82744522805615,1.0,0.0
47.27780074568463,1403.228788556341,139.86072655028607,1.0,0.0
41.649165607921674,2040.8454717430145,86.2570598136977,1.0,0.0
54.474115788895176,1708.1731781135895,99.14825448824644,1.0,0.0
35.57975442608167,1114.080099354593,97.97538849379507,1.0,0.0
41.685785941408724,4637.216585624197,98.97414914948774,0.5894145422892478,0.9848925739839242
44.65447373174767,1032.8925255555662,150.94462596677235,1.0,0.0
48.24279936868144,3944.3285773483417,129.62118921356245,0.7935622782171461,0.507308301300542
61.407038455720546,1608.591547678066,107.81362671299664,1.0,0.0
37.98695128633439,4648.9184879984,72.36346530930749,0.5500858152636637,1.0
50.569377536544465,4571.1837583595425,53.320874441321884,0.6800694729626469,0.7969794299106605
53.696582754481696,3615.6045854770296,82.82520163815389,0.8399132553597771,0.38173394782814873
31.85801650879991,3688.9365992024204,66.12071059530219,0.680792845247515,0.707307969425212
54.30179407605753,1021.3565678787542,167.8167546278359,1.0,0.0
36.82096494749166,4939.486264454408,66.8746936720828,0.4803123965840349,1.0
32.60206371941118,4511.330414303257,158.6342355960254,0.5237545543334603,1.0
